Section,Element,Content
Nav,"WhatsApp button label","WhatsApp Us"
Nav,"WhatsApp pre-fill","Hi, I'm interested in working abroad. Can you help me?"
Hero,"Kicker","Before you pay a recruiter, get the facts first."
Hero,"Headline line 1","Your next job"
Hero,"Headline line 2","is overseas."
Hero,"Sub-headline","Find out which countries are open to your field, what documents you need, what it may cost, and which scams to avoid."
Hero,"Trust line","No placement fees. No fake promises. Just clear information."
Hero,"CTA hint","Pick your field below — WhatsApp opens automatically."
Interest Grid,"Section heading","What's your field?"
Interest Grid,"Grid hint","First chat is free. Get the full Playbook for R199."
Trust Band,"Heading","Know what's real before you pay a recruiter anything."
Trust Band,"Sources paragraph","Everything we tell you comes straight from official government websites: UK Home Office, US State Department, Australian Home Affairs. Not WhatsApp groups. Not word of mouth. Not an agent guessing."
Trust Band,"Gold line","Our R199 Work Abroad Playbook is the only thing you'll ever pay us for. No monthly fees, no hidden costs. No fake recruiter taking R5,000 from you."
Lost Link Recovery,"Text","Already paid? Lost your access link?"
Lost Link Recovery,"Link label","WhatsApp us and we'll resend it."
Lost Link Recovery,"WhatsApp pre-fill","I lost my link. My number is [your number]."
Footer,"WhatsApp button label","WhatsApp Us"
Footer,"WhatsApp pre-fill","Hi, I'm interested in working abroad. Can you help me?"
Footer,"Legal text","We're an information service. We don't place candidates, act as recruiters or guarantee employment."
Footer,"Privacy link label","Privacy Policy"
Footer,"Logo text","jobabroad"
Footer,"Location","Based in South Africa 🇿🇦"
HowItWorks,"Section kicker","Simple process"
HowItWorks,"Section heading","How it works."
HowItWorks,"Section subtext","No confusing forms. Start with a free WhatsApp conversation."
HowItWorks,"Step 1 title","Pick your field"
HowItWorks,"Step 1 description","Tap a category tile. WhatsApp opens with your interest pre-filled. No forms, no sign-up. Just tap and send."
HowItWorks,"Step 2 title","A real conversation"
HowItWorks,"Step 2 description","We reply with honest, scam-free guidance for your field: which countries are realistic, what it actually costs, and what red flags to watch for."
HowItWorks,"Step 3 title","Work Abroad Playbook"
HowItWorks,"Step 3 hook","Researched, up to date, and built around the questions scam recruiters hope you never ask."
HowItWorks,"Step 3 payment line","One payment. No monthly fees, no hidden costs."
HowItWorks,"Step 3 price","R199"
HowItWorks,"Step 3 price suffix","once-off"
HowItWorks,"What's inside label","What's inside"
HowItWorks,"Playbook item 1","Which destinations are realistic for your field"
HowItWorks,"Playbook item 2","Step-by-step document checklist"
HowItWorks,"Playbook item 3","Realistic costs: visa fees, flights, relocation"
HowItWorks,"Playbook item 4","Current visa route overview"
HowItWorks,"Playbook item 5","Scam red flags to watch for"
HowItWorks,"Playbook item 6","Legitimate contacts and official programme links"
HowItWorks,"Playbook item 7","CV template + personal WhatsApp feedback"
FAQ,"Section kicker","Common questions"
FAQ,"Section heading","Straight answers."
FAQ,"Pillar 1 title","Official sources only"
FAQ,"Pillar 1 body","Every claim links to GOV.UK, State Department, Home Affairs, or equivalent official government portals. No blog posts. No hearsay."
FAQ,"Pillar 2 title","Scam warnings included"
FAQ,"Pillar 2 body","Each Playbook includes a red-flag checklist of known scam patterns: fake recruiters, upfront fee fraud, fraudulent job offers."
FAQ,"Pillar 3 title","No placement fees. Ever."
FAQ,"Pillar 3 body","We charge for information, not for placing you in a job. Charging job seekers placement fees is illegal in South Africa. We never do."
FAQ,"Q1 question","What do I get for R199?"
FAQ,"Q1 answer","You get our Work Abroad Playbook for your field — researched, up to date and built around the questions scam recruiters hope you never ask. Inside: destination options, document checklist, realistic costs, visa route overview, scam red flags and legitimate contacts. Plus a CV template and direct WhatsApp feedback."
FAQ,"Q2 question","Are you a recruitment agency?"
FAQ,"Q2 answer","No. We're an information service. We provide clear information from official sources. We don't place candidates, charge placement fees or guarantee employment."
FAQ,"Q3 question","Is this legal in South Africa?"
FAQ,"Q3 answer","Yes. We operate under South African law and comply with POPIA (Protection of Personal Information Act). We're not required to register as a recruitment agency — we don't place candidates or earn referral fees."
FAQ,"Q4 question","What if my job type isn't listed?"
FAQ,"Q4 answer","Tap the ""Other"" tile. WhatsApp opens and you can tell us exactly what you do. We'll tell you straight whether a real overseas route exists for your field."
FAQ,"CTA heading","Still have a question?"
FAQ,"CTA subtext","WhatsApp us. We reply to every message."
FAQ,"CTA button label","WhatsApp Us"
FAQ,"CTA WhatsApp pre-fill","Hi, I have a question about Jobabroad."
CountryStats,"Section kicker","Real demand"
CountryStats,"Section heading","Where South Africans are finding work abroad."
CountryStats,"Section intro","These countries have legal work or migration routes South Africans commonly explore. Always check official requirements before applying or paying anyone."
CountryStats,"UK stat","39,000+"
CountryStats,"UK label","NHS vacancies open right now"
CountryStats,"UK detail","SA nurse registrations have quadrupled in 4 years — £28K–£60K starting"
CountryStats,"UK roles","Nurses, Teachers, Seasonal, Trades"
CountryStats,"UK source","NHS England / NMC"
CountryStats,"Ireland stat","1,631"
CountryStats,"Ireland label","SA critical skills permits in 2024"
CountryStats,"Ireland detail","SA is among the top source countries globally. IT, engineering and healthcare are in demand."
CountryStats,"Ireland roles","IT & Tech, Engineering, Healthcare"
CountryStats,"Ireland source","Dept. Enterprise Ireland"
CountryStats,"Germany stat","639,000"
CountryStats,"Germany label","open job vacancies (Feb 2025)"
CountryStats,"Germany detail","Opportunity Card launched — over 11,000 issued in its first year"
CountryStats,"Germany roles","Engineering, IT, Healthcare, Trades"
CountryStats,"Germany source","German Economic Institute (IW)"
CountryStats,"Australia stat","456 roles"
CountryStats,"Australia label","on the Core Skills Occupation List"
CountryStats,"Australia detail","Several routes are open to SA applicants in healthcare, engineering and trades."
CountryStats,"Australia roles","Healthcare, Engineering, Farming, IT"
CountryStats,"Australia source","Home Affairs Australia"
CountryStats,"UAE stat","Year-round"
CountryStats,"UAE label","expat demand in 5+ sectors"
CountryStats,"UAE detail","Dubai & Abu Dhabi — healthcare, hospitality & trades hubs"
CountryStats,"UAE roles","Hospitality, Healthcare, Trades"
CountryStats,"UAE source","UAE Ministry of HR"
CountryStats,"Canada stat","48,000+"
CountryStats,"Canada label","SAICA members eligible for CPA Canada"
CountryStats,"Canada detail","Mutual recognition agreement — credential assessment varies by province"
CountryStats,"Canada roles","Accounting, Engineering, IT, Healthcare"
CountryStats,"Canada source","SAICA / CPA Canada MRA"
CountryStats,"New Zealand stat","70,000+"
CountryStats,"New Zealand label","South Africans already living there"
CountryStats,"New Zealand detail","Green List: nurses & engineers may qualify for faster residence — if requirements are met"
CountryStats,"New Zealand roles","Nursing, Engineering, Farming, IT"
CountryStats,"New Zealand source","UN DESA / Immigration NZ"
CountryStats,"United States stat","J1 Visa"
CountryStats,"United States label","seasonal & exchange work every year"
CountryStats,"United States detail","Farm work, carnival, summer camps — legal route for eligible young South Africans"
CountryStats,"United States roles","Farm work, Carnival, Hospitality, Camps"
CountryStats,"United States source","US State Department"
Categories,"Healthcare label","Healthcare"
Categories,"Healthcare description","Nurses, caregivers, medical staff"
Categories,"Healthcare destinations","UK, AUS, IRE, UAE"
Categories,"IT Tech label","IT / Tech"
Categories,"IT Tech description","Developers, engineers, IT support"
Categories,"IT Tech destinations","IRE, UK, USA, AUS"
Categories,"Engineering label","Engineering"
Categories,"Engineering description","Civil, mechanical, electrical"
Categories,"Engineering destinations","AUS, UK, IRE, CA"
Categories,"Teaching label","Teaching"
Categories,"Teaching description","Teachers, tutors, education staff"
Categories,"Teaching destinations","UK, AUS, UAE"
Categories,"Remote Work label","Remote Work"
Categories,"Remote Work description","Teaching abroad, online roles, e.g. China"
Categories,"Remote Work destinations","Worldwide"
Categories,"Farming label","Farming"
Categories,"Farming description","Seasonal farm work"
Categories,"Farming destinations","UK, USA, AUS, NZ"
Categories,"Carnival Seasonal label","Carnival / Seasonal"
Categories,"Carnival Seasonal description","J1 visa, amusement, events"
Categories,"Carnival Seasonal destinations","USA"
Categories,"Hospitality label","Hospitality"
Categories,"Hospitality description","Hotels, restaurants, tourism"
Categories,"Hospitality destinations","UK, UAE, AUS, EU"
Categories,"Trades label","Trades"
Categories,"Trades description","Plumbers, electricians, builders"
Categories,"Trades destinations","UK, AUS, CA, UAE"
Categories,"Other label","Other"
Categories,"Other description","Something else? Tell us"
Categories,"Other destinations","Worldwide"
WhatsApp pre-fills,"Category template","Hi, I'm interested in [Category Label] work abroad. Can you help me?"
WhatsApp pre-fills,"Nav / Footer button","Hi, I'm interested in working abroad. Can you help me?"
WhatsApp pre-fills,"FAQ CTA","Hi, I have a question about Jobabroad."
WhatsApp pre-fills,"Lost link recovery","I lost my link. My number is [your number]."
